"position","const","created","modified","description","Title","Title type","Directors","You rated","IMDb Rating","Runtime (mins)","Year","Genres","Num. Votes","Release Date (month/day/year)","URL"
"117","tt0082432","Sat Dec 31 03:15:15 2011","Sat Dec 31 03:15:15 2011","","Gallipoli","Feature Film","Peter Weir","","7.6","110","1981","adventure, drama, history, war","17732","1981-08-13","http://www.imdb.com/title/tt0082432/"
"118","tt0084503","Sat Dec 31 03:15:57 2011","Sat Dec 31 03:15:57 2011","","Pink Floyd The Wall","Feature Film","Alan Parker","","7.8","95","1982","drama, musical","33935","1982-05-23","http://www.imdb.com/title/tt0084503/"
"119","tt0087843","Sat Dec 31 03:16:05 2011","Sat Dec 31 03:16:05 2011","","Once Upon a Time in America","Feature Film","Sergio Leone","","8.4","229","1984","crime, drama, history","103767","1984-02-17","http://www.imdb.com/title/tt0087843/"
"120","tt0090329","Sat Dec 31 03:16:10 2011","Sat Dec 31 03:16:10 2011","","Witness","Feature Film","Peter Weir","","7.5","112","1985","drama, romance, thriller","37937","1985-02-08","http://www.imdb.com/title/tt0090329/"
"121","tt0088846","Sat Dec 31 03:16:12 2011","Sat Dec 31 03:16:12 2011","","Brazil","Feature Film","Terry Gilliam","","8.0","132","1985","drama, fantasy, sci_fi","93569","1985-02-20","http://www.imdb.com/title/tt0088846/"
"122","tt0097027","Sat Dec 31 03:16:24 2011","Sat Dec 31 03:16:24 2011","","Casualties of War","Feature Film","Brian DePalma","","7.0","113","1989","drama, war","19131","1989-08-18","http://www.imdb.com/title/tt0097027/"
"123","tt0097441","Sat Dec 31 03:16:31 2011","Sat Dec 31 03:16:31 2011","","Glory","Feature Film","Edward Zwick","","8.0","122","1989","drama, history, war","66987","1989-12-15","http://www.imdb.com/title/tt0097441/"
"124","tt0105665","Sat Dec 31 03:16:38 2011","Sat Dec 31 03:16:38 2011","","Twin Peaks: Fire Walk with Me","Feature Film","David Lynch","","7.0","135","1992","crime, drama, mystery, thriller","27809","1992-05","http://www.imdb.com/title/tt0105665/"
"125","tt0421238","Sat Dec 31 03:16:57 2011","Sat Dec 31 03:16:57 2011","","The Proposition","Feature Film","John Hillcoat","","7.5","104","2005","crime, drama, western","27377","2005-05-11","http://www.imdb.com/title/tt0421238/"
"126","tt1029234","Sat Dec 31 03:17:02 2011","Sat Dec 31 03:17:02 2011","","Martyrs","Feature Film","Pascal Laugier","","7.0","99","2008","drama, horror, thriller","23627","2008-05","http://www.imdb.com/title/tt1029234/"
"127","tt0079501","Sat Dec 31 03:17:41 2011","Sat Dec 31 03:17:41 2011","","Mad Max","Feature Film","George Miller","","7.0","88","1979","action, adventure, thriller","56214","1979-04-12","http://www.imdb.com/title/tt0079501/"
"128","tt0082694","Sat Dec 31 03:17:43 2011","Sat Dec 31 03:17:43 2011","","Mad Max 2: The Road Warrior","Feature Film","George Miller","","7.6","95","1981","action, adventure, thriller","53687","1981-12-24","http://www.imdb.com/title/tt0082694/"
"129","tt0082340","Sat Dec 31 03:17:51 2011","Sat Dec 31 03:17:51 2011","","Escape from New York","Feature Film","John Carpenter","","7.1","99","1981","action, adventure, crime, sci_fi, thriller","46469","1981-05-23","http://www.imdb.com/title/tt0082340/"
"130","tt0087803","Sat Dec 31 03:17:58 2011","Sat Dec 31 03:17:58 2011","","1984","Feature Film","Michael Radford","","7.1","113","1984","drama, romance, sci_fi, thriller","24245","1984-10-10","http://www.imdb.com/title/tt0087803/"
"131","tt0119177","Sat Dec 31 03:18:08 2011","Sat Dec 31 03:18:08 2011","","Gattaca","Feature Film","Andrew Niccol","","7.8","106","1997","drama, romance, sci_fi, thriller","105472","1997-09-07","http://www.imdb.com/title/tt0119177/"
"132","tt0118929","Sat Dec 31 03:18:14 2011","Sat Dec 31 03:18:14 2011","","Dark City","Feature Film","Alex Proyas","","7.8","100","1998","mystery, sci_fi, thriller","87678","1998-02-27","http://www.imdb.com/title/tt0118929/"
"133","tt0120907","Sat Dec 31 03:18:21 2011","Sat Dec 31 03:18:21 2011","","eXistenZ","Feature Film","David Cronenberg","","6.8","97","1999","sci_fi, thriller","46027","1999-02-16","http://www.imdb.com/title/tt0120907/"
"134","tt0085743","Sat Dec 31 03:19:45 2011","Sat Dec 31 03:19:45 2011","","Jaane Bhi Do Yaaro","Feature Film","Kundan Shah","","8.0","143","1983","comedy, drama","2542","1983-08-12","http://www.imdb.com/title/tt0085743/"
"135","tt0240200","Sat Dec 31 03:19:54 2011","Sat Dec 31 03:19:54 2011","","Water","Feature Film","Deepa Mehta","","7.6","117","2005","drama, romance","8236","2005-09-08","http://www.imdb.com/title/tt0240200/"
"136","tt0065936","Sat Dec 31 03:20:50 2011","Sat Dec 31 03:20:50 2011","","Kati Patang","Feature Film","Shakti Samanta","","7.2","132","1970","drama, romance, musical, family","192","1970","http://www.imdb.com/title/tt0065936/"
"137","tt0114234","Wed Jan 11 00:52:59 2012","Wed Jan 11 00:52:59 2012","","Bollywood Dreams","Feature Film","Ramgopal Varma","","7.5","142","1995","comedy, drama, musical, romance","2085","1995-09-08","http://www.imdb.com/title/tt0114234/"
"138","tt0411469","Wed Jan 11 00:53:23 2012","Wed Jan 11 00:53:23 2012","","Hazaaron Khwaishein Aisi","Feature Film","Sudhir Mishra","","7.9","120","2003","drama","1890","2003-12","http://www.imdb.com/title/tt0411469/"
"139","tt0357283","Wed Jan 11 00:53:35 2012","Wed Jan 11 00:53:35 2012","","Silent Waters","Feature Film","Sabiha Sumar","","7.3","99","2003","drama","601","2003-08-15","http://www.imdb.com/title/tt0357283/"
"140","tt0195814","Wed Jan 11 00:53:41 2012","Wed Jan 11 00:53:41 2012","","Hyderabad Blues","Feature Film","Nagesh Kukunoor","","7.3","","1998","drama","440","1998","http://www.imdb.com/title/tt0195814/"
"141","tt0150433","Wed Jan 11 00:55:58 2012","Wed Jan 11 00:55:58 2012","","Earth","Feature Film","Deepa Mehta","","7.5","110","1998","drama, romance, war","3439","1998-09-16","http://www.imdb.com/title/tt0150433/"
"142","tt0050188","Wed Jan 11 00:56:13 2012","Wed Jan 11 00:56:13 2012","","Mother India","Feature Film","Mehboob","","7.4","172","1957","drama, musical, family","1733","1957-02-14","http://www.imdb.com/title/tt0050188/"
"143","tt1190894","Wed Jan 11 00:56:38 2012","Wed Jan 11 00:56:38 2012","","Road, Movie","Feature Film","Dev Benegal","","6.9","95","2009","adventure, comedy, crime, drama","869","2009-09-18","http://www.imdb.com/title/tt1190894/"
"144","tt0255289","Wed Jan 11 00:58:20 2012","Wed Jan 11 00:58:20 2012","","Kala Pani","Feature Film","Priyadarshan","","7.5","","1996","action, drama","500","1996","http://www.imdb.com/title/tt0255289/"
"145","tt0405266","Wed Jan 11 00:59:12 2012","Wed Jan 11 00:59:12 2012","","Raincoat","Feature Film","Rituparno Ghosh","","7.3","117","2004","drama, romance","1320","2004-07-09","http://www.imdb.com/title/tt0405266/"
"146","tt0085913","Wed Jan 11 00:59:25 2012","Wed Jan 11 00:59:25 2012","","Masoom","Feature Film","Shekhar Kapur","","7.8","165","1983","drama, family, musical","943","1983","http://www.imdb.com/title/tt0085913/"
"147","tt0488414","Wed Jan 11 01:00:04 2012","Wed Jan 11 01:00:04 2012","","Omkara","Feature Film","Vishal Bhardwaj","","7.9","155","2006","action, drama, romance","4070","2006-07-28","http://www.imdb.com/title/tt0488414/"
"148","tt0305455","Wed Jan 11 01:00:22 2012","Wed Jan 11 01:00:22 2012","","Pitaah","Feature Film","Mahesh Manjrekar","","6.8","","2002","action, drama","187","2002-01-04","http://www.imdb.com/title/tt0305455/"
"149","tt0383975","Wed Jan 11 01:00:47 2012","Wed Jan 11 01:00:47 2012","","Chameli","Feature Film","Sudhir Mishra","","7.0","108","2003","drama","554","2003-12-31","http://www.imdb.com/title/tt0383975/"
"150","tt0920464","Wed Jan 11 01:01:02 2012","Wed Jan 11 01:01:02 2012","","Manorama Six Feet Under","Feature Film","Navdeep Singh","","7.6","135","2007","crime, drama, mystery, thriller","1496","2007-09-21","http://www.imdb.com/title/tt0920464/"
"151","tt0457802","Wed Jan 11 01:01:51 2012","Wed Jan 11 01:01:51 2012","","The Blue Umbrella","Feature Film","Vishal Bhardwaj","","7.4","90","2005","comedy, drama, family, fantasy","703","2005-10-12","http://www.imdb.com/title/tt0457802/"
"152","tt0338490","Wed Jan 11 01:02:35 2012","Wed Jan 11 01:02:35 2012","","Three Walls","Feature Film","Nagesh Kukunoor","","7.7","","2003","crime, drama","810","2003-06-07","http://www.imdb.com/title/tt0338490/"
"153","tt0102258","Wed Jan 11 01:09:28 2012","Wed Jan 11 01:09:28 2012","","Lamhe","Feature Film","Yash Chopra","","7.1","187","1991","drama, musical, romance","813","1991-11-04","http://www.imdb.com/title/tt0102258/"
"154","tt0050870","Wed Jan 11 01:09:46 2012","Wed Jan 11 01:09:46 2012","","Pyaasa","Feature Film","Guru Dutt","","7.8","146","1957","drama, musical, romance","1267","1957-02-19","http://www.imdb.com/title/tt0050870/"
"155","tt0246687","Wed Jan 11 01:10:03 2012","Wed Jan 11 01:10:03 2012","","Hu Tu Tu","Feature Film","Gulzar","","7.1","172","1999","drama","171","1999-01-22","http://www.imdb.com/title/tt0246687/"
"156","tt0433416","Wed Jan 11 01:11:19 2012","Wed Jan 11 01:11:19 2012","","The Namesake","Feature Film","Mira Nair","","7.4","122","2006","drama","11332","2006-09-02","http://www.imdb.com/title/tt0433416/"
"157","tt0102456","Wed Jan 11 01:11:26 2012","Wed Jan 11 01:11:26 2012","","Mississippi Masala","Feature Film","Mira Nair","","6.5","118","1991","romance, drama, comedy","2751","1991-09-18","http://www.imdb.com/title/tt0102456/"
"158","tt0458072","Wed Jan 11 01:11:33 2012","Wed Jan 11 01:11:33 2012","","Provoked: A True Story","Feature Film","Jag Mundhra","","6.2","113","2006","drama","1208","2006-05-18","http://www.imdb.com/title/tt0458072/"
"159","tt0107199","Wed Jan 11 05:09:46 2012","Wed Jan 11 05:09:46 2012","","In Custody","Feature Film","Ismail Merchant","","7.1","126","1994","comedy, drama","179","1994-04-15","http://www.imdb.com/title/tt0107199/"
"160","tt1620620","Wed Jan 11 05:09:53 2012","Wed Jan 11 05:09:53 2012","","The Japanese Wife","Feature Film","Aparna Sen","","7.0","105","2010","drama, romance","587","2010-04-09","http://www.imdb.com/title/tt1620620/"
"161","tt0477857","Wed Jan 11 05:10:06 2012","Wed Jan 11 05:10:06 2012","","Sehar","Feature Film","Kabeer Kaushik","","7.4","","2005","action, crime, drama","515","2005","http://www.imdb.com/title/tt0477857/"
"162","tt1471247","Wed Jan 11 05:10:52 2012","Wed Jan 11 05:10:52 2012","","Road to Sangam","Feature Film","Amit Rai","","7.3","135","2010","drama, thriller","237","2010-01-29","http://www.imdb.com/title/tt1471247/"
"163","tt0052954","Wed Jan 11 05:10:56 2012","Wed Jan 11 05:10:56 2012","","Kaagaz Ke Phool","Feature Film","Guru Dutt","","7.6","148","1959","musical, romance","535","1959","http://www.imdb.com/title/tt0052954/"
"164","tt0056436","Wed Jan 11 05:11:08 2012","Wed Jan 11 05:11:08 2012","","Sahib Bibi Aur Ghulam","Feature Film","Abrar Alvi","","7.6","152","1962","drama, musical","437","1962","http://www.imdb.com/title/tt0056436/"
"165","tt0293342","Wed Jan 11 05:11:14 2012","Wed Jan 11 05:11:14 2012","","Lajja","Feature Film","Rajkumar Santoshi","","6.8","202","2001","drama, musical, crime, romance","747","2001-09-19","http://www.imdb.com/title/tt0293342/"
"166","tt0054098","Wed Jan 11 05:11:16 2012","Wed Jan 11 05:11:16 2012","","Mughal-E-Azam","Feature Film","K. Asif","","7.7","173","1960","drama, romance, war","1589","1960-08-05","http://www.imdb.com/title/tt0054098/"
"167","tt1714832","Wed Jan 11 05:11:32 2012","Wed Jan 11 05:11:32 2012","","Do Dooni Chaar","Feature Film","Habib Faisal","","7.3","","2010","comedy, drama","762","2010-10-08","http://www.imdb.com/title/tt1714832/"
"168","tt0056241","Wed Jan 11 05:14:35 2012","Wed Jan 11 05:14:35 2012","","The Miracle Worker","Feature Film","Arthur Penn","","8.0","106","1962","biography, drama","7509","1962-05-23","http://www.imdb.com/title/tt0056241/"
"169","tt0047472","Wed Jan 11 05:14:59 2012","Wed Jan 11 05:14:59 2012","","Seven Brides for Seven Brothers","Feature Film","Stanley Donen","","7.2","102","1954","adventure, comedy, drama, family, musical, romance, western","9156","1954-07-22","http://www.imdb.com/title/tt0047472/"
"170","tt0046438","Wed Jan 11 05:15:15 2012","Wed Jan 11 05:15:15 2012","","Tokyo Story","Feature Film","Yasujirô Ozu","","8.3","136","1953","drama","12174","1953-11-03","http://www.imdb.com/title/tt0046438/"
"171","tt0097635","Wed Jan 11 05:15:39 2012","Wed Jan 11 05:15:39 2012","","Jesus of Montreal","Feature Film","Denys Arcand","","7.4","118","1989","drama","4506","1989-05-17","http://www.imdb.com/title/tt0097635/"
"172","tt0053604","Wed Jan 11 05:16:00 2012","Wed Jan 11 05:16:00 2012","","The Apartment","Feature Film","Billy Wilder","","8.4","125","1960","romance, comedy, drama","51402","1960-06-15","http://www.imdb.com/title/tt0053604/"
"173","tt0116692","Wed Jan 11 05:16:25 2012","Wed Jan 11 05:16:25 2012","","Beyond Silence","Feature Film","Caroline Link","","7.4","109","1996","drama, music","2583","1996-12-19","http://www.imdb.com/title/tt0116692/"
"174","tt0264472","Wed Jan 11 05:17:04 2012","Wed Jan 11 05:17:04 2012","","Changing Lanes","Feature Film","Roger Michell","","6.5","98","2002","drama, thriller","36235","2002-04-07","http://www.imdb.com/title/tt0264472/"
"175","tt1373156","Wed Jan 11 05:19:52 2012","Wed Jan 11 05:19:52 2012","","Karthik Calling Karthik","Feature Film","Vijay Lalwani","","7.0","135","2010","comedy, drama, thriller","2089","2010-02-26","http://www.imdb.com/title/tt1373156/"
"176","tt0066758","Sat Jan 21 06:04:27 2012","Sat Jan 21 06:04:27 2012","","Amar Prem","Feature Film","Shakti Samanta","","7.2","","1972","musical, romance","279","1972-01-28","http://www.imdb.com/title/tt0066758/"
"177","tt0058547","Sat Jan 21 06:04:35 2012","Sat Jan 21 06:04:35 2012","","Sangam","Feature Film","Raj Kapoor","","6.9","238","1964","musical, romance","415","1964","http://www.imdb.com/title/tt0058547/"
"178","tt0058257","Sat Jan 21 06:05:59 2012","Sat Jan 21 06:05:59 2012","","Kashmir Ki Kali","Feature Film","Shakti Samanta","","6.9","168","1964","comedy, musical, romance","151","1964","http://www.imdb.com/title/tt0058257/"
"179","tt0177473","Sat Jan 21 06:06:04 2012","Sat Jan 21 06:06:04 2012","","Aa Gale Lag Jaa","Feature Film","Man Mohan Desai","","6.7","","1973","action, drama, romance","97","1973-11-06","http://www.imdb.com/title/tt0177473/"
"180","tt0234724","Sat Jan 21 06:06:21 2012","Sat Jan 21 06:06:21 2012","","Shor","Feature Film","Manoj Kumar","","7.0","170","1972","comedy, drama, family, romance","124","1972","http://www.imdb.com/title/tt0234724/"
"181","tt0158534","Sat Jan 21 06:06:29 2012","Sat Jan 21 06:06:29 2012","","The Burning Train","Feature Film","Ravi Chopra","","6.9","142","1980","action, thriller","341","1980-03-20","http://www.imdb.com/title/tt0158534/"
"182","tt0072783","Sat Jan 21 06:06:41 2012","Sat Jan 21 06:06:41 2012","","Chupke Chupke","Feature Film","Hrishikesh Mukherjee","","8.0","127","1975","comedy, drama","1318","1975","http://www.imdb.com/title/tt0072783/"
"183","tt0079221","Sat Jan 21 06:06:48 2012","Sat Jan 21 06:06:48 2012","","Gol Maal","Feature Film","Hrishikesh Mukherjee","","8.0","144","1979","comedy, family","2145","1979-04-20","http://www.imdb.com/title/tt0079221/"
"184","tt0157339","Sat Jan 21 06:06:59 2012","Sat Jan 21 06:06:59 2012","","Baton Baton Mein","Feature Film","Basu Chatterjee","","7.3","","1979","comedy, romance","259","1979-04-13","http://www.imdb.com/title/tt0157339/"
"185","tt0072777","Sat Jan 21 06:07:15 2012","Sat Jan 21 06:07:15 2012","","Chhoti Si Baat","Feature Film","Basu Chatterjee","","7.7","123","1975","comedy, romance","698","1975","http://www.imdb.com/title/tt0072777/"
"186","tt0397742","Sat Jan 21 06:07:33 2012","Sat Jan 21 06:07:33 2012","","Yeh Vaada Raha","Feature Film","Kapil Kapoor","","6.7","","1982","romance, musical, drama","98","1982-04-09","http://www.imdb.com/title/tt0397742/"
"187","tt0079584","Sat Jan 21 06:07:59 2012","Sat Jan 21 06:07:59 2012","","Mr. Natwarlal","Feature Film","Rakesh Kumar","","6.6","148","1979","action, comedy, romance, thriller","332","1979","http://www.imdb.com/title/tt0079584/"
"188","tt0070637","Sat Jan 21 06:08:07 2012","Sat Jan 21 06:08:07 2012","","Saudagar","Feature Film","Sudhendu Roy","","7.3","","1973","drama, family","177","1973","http://www.imdb.com/title/tt0070637/"
"189","tt0214832","Sat Jan 21 06:08:28 2012","Sat Jan 21 06:08:28 2012","","Kalicharan","Feature Film","Subhash Ghai","","7.1","","1976","drama, action, adventure, crime, thriller","74","1976-02-07","http://www.imdb.com/title/tt0214832/"
"190","tt0175450","Sat Jan 21 06:08:31 2012","Sat Jan 21 06:08:31 2012","","Apradh","Feature Film","Feroz Khan","","7.0","","1972","action, thriller, romance","30","1972","http://www.imdb.com/title/tt0175450/"
"191","tt0072100","Sat Jan 21 06:08:46 2012","Sat Jan 21 06:08:46 2012","","Roti Kapada Aur Makaan","Feature Film","Manoj Kumar","","6.8","159","1974","drama, musical","241","1974","http://www.imdb.com/title/tt0072100/"
"192","tt0069810","Sat Jan 21 06:09:13 2012","Sat Jan 21 06:09:13 2012","","Bobby","Feature Film","Raj Kapoor","","6.7","168","1973","romance, musical","471","1973-11","http://www.imdb.com/title/tt0069810/"
"193","tt0084532","Sat Jan 21 06:09:23 2012","Sat Jan 21 06:09:23 2012","","Prem Rog","Feature Film","Raj Kapoor","","6.8","","1982","drama, musical, romance","219","1982-07-31","http://www.imdb.com/title/tt0084532/"
"194","tt0093894","Sat Jan 21 08:04:19 2012","Sat Jan 21 08:04:19 2012","","The Running Man","Feature Film","Paul Michael Glaser","","6.5","101","1987","action, sci_fi, thriller","53258","1987-11-13","http://www.imdb.com/title/tt0093894/"
"195","tt0100802","Sat Jan 21 08:04:43 2012","Sat Jan 21 08:04:43 2012","","Total Recall","Feature Film","Paul Verhoeven","","7.4","113","1990","action, adventure, sci_fi, thriller","105859","1990-06-01","http://www.imdb.com/title/tt0100802/"
"196","tt0116213","Sat Jan 21 08:05:00 2012","Sat Jan 21 08:05:00 2012","","Eraser","Feature Film","Charles Russell","","5.9","115","1996","action, crime, drama, mystery, thriller","47766","1996-06-11","http://www.imdb.com/title/tt0116213/"
"197","tt0146675","Sat Jan 21 08:05:06 2012","Sat Jan 21 08:05:06 2012","","End of Days","Feature Film","Peter Hyams","","5.5","121","1999","action, horror, thriller","54030","1999-11-16","http://www.imdb.com/title/tt0146675/"
"198","tt1655442","Sat Feb 11 11:21:09 2012","Sat Feb 11 11:21:09 2012","","The Artist","Feature Film","Michel Hazanavicius","","8.3","100","2011","comedy, romance, drama","58684","2011-05-15","http://www.imdb.com/title/tt1655442/"
"199","tt1033575","Sat Feb 11 11:21:44 2012","Sat Feb 11 11:21:44 2012","","The Descendants","Feature Film","Alexander Payne","","7.6","115","2011","comedy, drama","61308","2011-09-02","http://www.imdb.com/title/tt1033575/"
"200","tt1454029","Sat Feb 11 11:22:51 2012","Sat Feb 11 11:22:51 2012","","The Help","Feature Film","Tate Taylor","","8.0","146","2011","drama","73548","2011-08-09","http://www.imdb.com/title/tt1454029/"
"201","tt0477302","Sat Feb 11 11:23:30 2012","Sat Feb 11 11:23:30 2012","","Extremely Loud & Incredibly Close","Feature Film","Stephen Daldry","","6.7","129","2011","adventure, drama, mystery","18336","2011-12-25","http://www.imdb.com/title/tt0477302/"
"202","tt1605783","Sat Feb 11 11:23:42 2012","Sat Feb 11 11:23:42 2012","","Midnight in Paris","Feature Film","Woody Allen","","7.8","94","2011","comedy, fantasy, romance","94362","2011-05-11","http://www.imdb.com/title/tt1605783/"
"203","tt1210166","Sat Feb 11 11:23:49 2012","Sat Feb 11 11:23:49 2012","","Moneyball","Feature Film","Bennett Miller","","7.7","133","2011","biography, drama, sport","80084","2011-09-09","http://www.imdb.com/title/tt1210166/"
"204","tt0478304","Sat Feb 11 11:24:03 2012","Sat Feb 11 11:24:03 2012","","The Tree of Life","Feature Film","Terrence Malick","","7.0","139","2011","drama","62405","2011-05-16","http://www.imdb.com/title/tt0478304/"
"205","tt1340800","Sat Feb 11 11:24:52 2012","Sat Feb 11 11:24:52 2012","","Tinker Tailor Soldier Spy","Feature Film","Tomas Alfredson","","7.3","127","2011","drama, mystery, thriller","48444","2011-09-05","http://www.imdb.com/title/tt1340800/"
"206","tt1615147","Sat Feb 11 11:26:50 2012","Sat Feb 11 11:26:50 2012","","Margin Call","Feature Film","J.C. Chandor","","7.2","107","2011","drama, thriller","26008","2011-01-25","http://www.imdb.com/title/tt1615147/"
"207","tt1832382","Sat Feb 11 11:26:55 2012","Sat Feb 11 11:26:55 2012","","A Separation","Feature Film","Asghar Farhadi","","8.6","123","2011","drama, mystery","47207","2011-02-15","http://www.imdb.com/title/tt1832382/"
"208","tt1673702","Sat Feb 11 11:27:55 2012","Sat Feb 11 11:27:55 2012","","A Cat in Paris","Feature Film","Jean-Loup Felicioli, Alain Gagnol","","6.9","70","2010","animation, crime, mystery","1555","2010-10-15","http://www.imdb.com/title/tt1673702/"
"209","tt1235830","Sat Feb 11 11:28:03 2012","Sat Feb 11 11:28:03 2012","","Chico & Rita","Feature Film","Tono Errando, Javier Mariscal","","7.0","94","2010","animation, music, romance","2214","2010-09-04","http://www.imdb.com/title/tt1235830/"
"210","tt0448694","Sat Feb 11 11:28:21 2012","Sat Feb 11 11:28:21 2012","","Puss in Boots","Feature Film","Chris Miller","","6.8","90","2011","animation, adventure, comedy, family","34505","2011-10-27","http://www.imdb.com/title/tt0448694/"
"211","tt0034583","Sat Feb 11 11:40:20 2012","Sat Feb 11 11:40:20 2012","","Casablanca","Feature Film","Michael Curtiz","","8.7","102","1942","drama, romance, war","214890","1942-11-26","http://www.imdb.com/title/tt0034583/"
"212","tt0187393","Sat Feb 11 11:41:05 2012","Sat Feb 11 11:41:05 2012","","The Patriot","Feature Film","Roland Emmerich","","6.9","165","2000","action, drama, war","110069","2000-06-27","http://www.imdb.com/title/tt0187393/"
"213","tt0813547","Sat Feb 11 11:41:16 2012","Sat Feb 11 11:41:16 2012","","The Counterfeiters","Feature Film","Stefan Ruzowitzky","","7.6","98","2007","crime, drama, war","21873","2007-02-10","http://www.imdb.com/title/tt0813547/"
"214","tt0079417","Sat Feb 11 11:44:50 2012","Sat Feb 11 11:44:50 2012","","Kramer vs. Kramer","Feature Film","Robert Benton","","7.7","105","1979","drama","42656","1979-12-19","http://www.imdb.com/title/tt0079417/"
"215","tt0040746","Sat Feb 11 23:57:46 2012","Sat Feb 11 23:57:46 2012","","Rope","Feature Film","Alfred Hitchcock","","8.1","80","1948","crime, drama, mystery, thriller","45804","1948-08-23","http://www.imdb.com/title/tt0040746/"
"216","tt0215911","Sun Feb 19 11:27:50 2012","Sun Feb 19 11:27:50 2012","","Koshish","Feature Film","Gulzar","","7.7","125","1972","drama, family, musical","283","1972","http://www.imdb.com/title/tt0215911/"
"217","tt1849718","Sun Feb 19 11:29:19 2012","Sun Feb 19 11:29:19 2012","","Agneepath","Feature Film","Karan Malhotra","","7.3","","2012","action, crime, drama, musical","4330","2012-01-25","http://www.imdb.com/title/tt1849718/"
"218","tt0166896","Sun Feb 19 11:33:57 2012","Sun Feb 19 11:33:57 2012","","The Straight Story","Feature Film","David Lynch","","8.0","112","1999","adventure, biography, drama","42537","1999-05-21","http://www.imdb.com/title/tt0166896/"
"219","tt0045693","Sun Feb 19 11:35:50 2012","Sun Feb 19 11:35:50 2012","","Do Bigha Zamin","Feature Film","Bimal Roy","","7.6","131","1953","drama","345","1953","http://www.imdb.com/title/tt0045693/"
"220","tt0043306","Sun Feb 19 11:36:08 2012","Sun Feb 19 11:36:08 2012","","Awaara","Feature Film","Raj Kapoor","","7.7","193","1951","drama, musical, romance","1087","1951","http://www.imdb.com/title/tt0043306/"
"221","tt0086425","Mon Feb 20 05:01:45 2012","Mon Feb 20 05:01:45 2012","","Terms of Endearment","Feature Film","James L. Brooks","","7.3","132","1983","romance, comedy, drama","21756","1983-11-20","http://www.imdb.com/title/tt0086425/"
"222","tt0071315","Mon Feb 20 05:02:10 2012","Mon Feb 20 05:02:10 2012","","Chinatown","Feature Film","Roman Polanski","","8.4","130","1974","crime, drama, mystery, thriller","107253","1974-06-20","http://www.imdb.com/title/tt0071315/"
"223","tt1007029","Tue Feb 28 03:00:26 2012","Tue Feb 28 03:00:26 2012","","The Iron Lady","Feature Film","Phyllida Lloyd","","6.4","105","2011","drama, biography","19334","2011-12-26","http://www.imdb.com/title/tt1007029/"
"224","tt1440129","Thu Mar 29 23:14:50 2012","Thu Mar 29 23:14:50 2012","","Battleship","Feature Film","Peter Berg","","","","2012","action, sci_fi, thriller","0","2012-04-11","http://www.imdb.com/title/tt1440129/"
"225","tt1194173","Fri Mar 30 02:02:55 2012","Fri Mar 30 02:02:55 2012","","The Bourne Legacy","Feature Film","Tony Gilroy","","","","2012","action, adventure, thriller","0","2012-08-03","http://www.imdb.com/title/tt1194173/"
