Language		Year	Movie Name
Hindi		2010	Robot (Endhiran)
English		2005	Robots
Hindi		2008	Rock On!!
Hindi		1999	Rockford
English		NA	Rocky Collection
English		1985	Rocky IV
English		2008	Role Models
English		2000	Romeo Must Die
English		1992	Romper Stomper
English		2005	Rumor Has It...
English		2003	Runaway Jury
English		1998	Rush Hour
English		2001	Rush Hour 2
English		1998	Rushmore
English		2006	Russell Peters: Outsourced
English		2008	Russell Peters: Red, White and Brown
English		2003	S.W.A.T.
Marathi		2007	Saade Maade Teen
Hindi		2002	Saathiya
Tamil		2005	Sachein
Hindi		2011	Saheb Biwi Aur Gangster
Hindi		1988	Salaam Bombay!
English		2010	Salt
English		2011	Sanctum
Hindi		2005	Sarkar
Hindi		1998	Satya
Marathi		2004	Savarkhed: Ek Gaav
English		2004	Saved!
English		1998	Saving Private Ryan
English		2004	Saw
English		2009	Saw Collection
English		2005	Saw II
English		2006	Saw III
English		2007	Saw IV
English		2008	Saw V
English		2009	Saw VI
English		2000	Scary Movie
English		2001	Scary Movie 2
English		2003	Scary Movie 3
English		2006	Scary Movie 4
English		2000	Scary Movie Collection
English		1992	Scent of a Woman
English		1993	Schindler's List
English		2006	School for Scoundrels
English		1995	Se7en
English		2003	Seabiscuit
Foreign Language	2002	Secret Things (Choses secrètes)
English		2010	Senna
English		1998	Senseless
English		2008	Seven Pounds
English		1954	Seven Samurai (Shichinin no samurai)
Foreign Language	2005	Seven Swords (Qi jian)
Foreign Language	2001	Sex and Lucia (Lucía y el sexo)
English		2008	Sex and the City
English		2010	Sex and the City 2
English		2008	Sex And The City Collection
English		2008	Sex Drive
Foreign Language	2002	Sex is Zero (Saekjeuk shigong)
English		1999	Sex: The Annabel Chong Story
Hindi		2011	Shagird
Hindi		2011	Shaitan
English		1998	Shakespeare in Love
English		2003	Shanghai Knights
English		2000	Shanghai Noon
English		2004	Shark Tale
Hindi		2008	Shaurya: It Takes Courage to Make Right... Right
English		2010	Shelter
English		2009	Sherlock Holmes
English		2010	She's Out of My League
Hindi		1975	Sholay
Hindi		2007	Shootout at Lokhandwala
Hindi		2011	Shor in the City
Marathi		NA	Shreemant Damodar Pant
English		2001	Shrek
English		2004	Shrek 2
English		2010	Shrek Forever After
English		2007	Shrek the Third
English		2010	Shutter Island
English		1987	Siesta
English		2002	Signs
Foreign Language	2009	Silent Venom
English		2003	Sinbad: Legend of the Seven Seas
Hindi		2008	Singh Is Kinng
Hindi		2011	Singham
English		1952	Singin' in the Rain
English		1992	Sister Act
English		2005	Sky High
English		1993	Sleepless in Seattle
English		1999	Sleepy Hollow
English		2008	Slumdog Millionaire
Hindi		2005	Socha Na Tha
English		1959	Some Like It Hot
Marathi		1970	Songadya
Marathi		2011	Sound of Heaven: The Story of Balgandharva
English		2011	Source Code
English		1996	Space Jam
English		1995	Species
English		1998	Species II
English		2004	Species III
English		1995	Species Trilogy
English		1994	Speed
English		1997	Speed 2: Cruise Control
English		1997	SPEED Collection
English		2008	Speed Racer
English		2002	Spider-Man
English		2004	Spider-Man 2
English		2007	Spider-Man 3
English		2002	Spirit: Stallion of the Cimarron
Foreign Language	2001	Spirited Away (Sen to Chihiro no kamikakushi)
English		2009	Spread
English		2001	Spy Game
Hindi		2011	Stanley Ka Dabba
English		2009	Star Trek
English		1979	Star Trek Collection I-X
English		1979	Star Trek I: The Motion Picture
English		1982	Star Trek II: The Wrath of Khan
English		1984	Star Trek III: The Search for Spock
English		1986	Star Trek IV: The Voyage Home
English		1998	Star Trek IX: Insurrection
English		1989	Star Trek V: The Final Frontier
English		1991	Star Trek VI: The Undiscovered Country
English		1994	Star Trek VII: Generations
English		1996	Star Trek VIII: First Contact
English		2002	Star Trek X: Nemesis
English		1977	Star Wars Collection I-VI
English		1999	Star Wars: Episode I - The Phantom Menace
English		2002	Star Wars: Episode II - Attack of the Clones
English		2005	Star Wars: Episode III - Revenge of the Sith
English		1977	Star Wars: Episode IV - A New Hope
English		1980	Star Wars: Episode V - The Empire Strikes Back
English		1983	Star Wars: Episode VI - Return of the Jedi
English		2007	Stardust
English		2006	Stay Alive
English		2005	Stealth
English		2008	Step Brothers
English		2006	Step Up
English		2008	Step Up 2: The Streets
English		2010	Step Up 3D
English		2006	Step Up Collection
English		2006	Stranger Than Fiction
Hindi		2010	Striker
Hindi		2001	Style
Hindi		2008	Sunday
English		1950	Sunset Blvd.
English		1999	Sunshine
English		2011	Super 8
English		1978	Superman
English		1978	Superman Collection
English		1980	Superman II
English		1983	Superman III
English		1987	Superman IV: The Quest for Peace
English		2010	Superman/Batman: Apocalypse
English		2007	Surf's Up
Hindi		2004	Swades: We, the People
English		2007	Sweeney Todd: The Demon Barber of Fleet Street
English		2001	Sweet November
English		2001	Swordfish
Telugu		2004	Sye
Hindi		1999	Taal
Hindi		2007	Taare Zameen Par
English		2010	Tangled
Hindi		2011	Tanu Weds Manu
Marathi		2011	Taryanche Bait
English		1999	Tarzan
Hindi		2008	Tashan
Foreign Language	2007	Taxi 4
English		1976	Taxi Driver
English		2003	Tears of the Sun
English		2007	Teenage Mutant Ninja Turtles 2007
Hindi		2010	Tere Bin Laden
English		1991	Terminator 2: Judgment Day
English		2003	Terminator 3: Rise of the Machines
English		1984	Terminator Collection
English		2009	Terminator Salvation
English		2007	Terra
English		2005	Thank You for Smoking
English		1999	The 13th Warrior
English		1989	The Abyss
English		2011	The Adjustment Bureau
English		2008	The Andromeda Strain
Hindi		NA	THE ANGREZ
English		2007	The Assassination of Jesse James by the Coward Robert Ford
English		2010	The A-Team
English		2009	The Bad Lieutenant: Port of Call - New Orleans
English		2008	The Bank Job
Foreign Language	2003	The Barbarian Invasions (Les invasions barbares)
English		2000	The Beach
English		2009	The Blind Side
English		1980	The Blue Lagoon
English		1990	The Bonfire of the Vanities
English		2010	The Book of Eli
English		1999	The Boondock Saints
English		2009	The Boondock Saints Collection
English		2009	The Boondock Saints II: All Saints Day
English		2010	The Bounty Hunter
English		2002	The Bourne Identity
English		2004	The Bourne Supremacy
English		2007	The Bourne Ultimatum
English		2009	The Box
English		2008	The Boy in the Striped Pyjamas
English		2007	The Brave One
English		1957	The Bridge on the River Kwai
English		2005	The Brothers Grimm
English		2007	The Bucket List
English		2004	The Butterfly Effect
English		2000	The Cell
English		2008	The Chronicles of Narnia: Prince Caspian
English		2005	The Chronicles of Narnia: The Lion, the Witch and the Wardrobe
English		2004	The Chronicles of Riddick
English		2010	The Company Men
English		2007	The Condemned
English		2005	The Constant Gardener
English		1989	The Cook the Thief His Wife & Her Lover
English		2003	The Core
English		2008	The Cottage
English		2006	The Covenant
English		2010	The Crazies
English		2008	The Curious Case of Benjamin Button
English		2006	The Da Vinci Code
English		2008	The Dark Knight
English		2004	The Day After Tomorrow
English		2008	The Day the Earth Stood Still
English		2006	The Departed
English		2005	The Descent
English		1997	The Devil's Advocate
English		2011	The Dragon Pearl
English		2003	The Dreamers
English		2008	The Duchess
English		2011	The Eagle
English		1996	The English Patient
English		2005	The Exorcism of Emily Rose
English		2010	The Expendables
Foreign Language	2006	The Exterminating Angels (Les anges exterminateurs)
English		2008	The Eye
English		2001	The Fast and the Furious
English		2006	The Fast and the Furious: Tokyo Drift
English		1997	The Fifth Element
English		2010	The Fighter
English		2000	The Final Destination Collection
English		2002	The First $20 Million Is Always the Hardest
English		2006	The Flying Scotsman
English		1980	The Fog
English		2008	The Forbidden Kingdom
English		2007	The Game Plan
English		2010	The Ghost Writer
English		2007	The Girl Next Door
English		1972	The Godfather
English		1990	The Godfather Collection
English		1974	The Godfather: Part II
English		1990	The Godfather: Part III
English		1989	The Gods Must Be Crazy II
English		2007	The Golden Compass
English		NA	The Good For Nothing
English		2009	The Good Guy
English		1966	The Good The Bad And The Ugly (Il buono, il brutto, il cattivo.)
English		1967	The Graduate
English		1963	The Great Escape
English		2005	The Great Raid
English		2005	The Greatest Game Ever Played
English		2011	The Green Hornet
English		1999	The Green Mile
English		2004	The Grudge
English		2006	The Grudge 2
English		2009	The Gruffalo
English		2011	The Hangover Part II
English		2008	The Happening
English		2009	The Haunting in Connecticut
English		2006	The Hills Have Eyes
English		2006	The Holiday
English		2008	The Hurt Locker
English		2006	The Illusionist
English		2009	The Imaginarium of Doctor Parnassus
English		2008	The Incredible Hulk
English		2004	The Incredibles
English		2009	The Informant!
English		2005	The Interpreter
English		2009	The Invention of Lying
English		2005	The Island
English		2003	The Italian Job
English		2005	The Jacket
English		2009	The Joneses
English		2010	The Karate Kid
English		2010	The Kids Are All Right
English		1956	The Killing
English		2007	The Kingdom
English		2010	The King's Speech
English		2007	The Kite Runner
English		2006	The Lake House
English		2010	The Last Airbender
English		1987	The Last Emperor
English		2006	The Last Kiss
English		2007	The Last Legion
English		2007	The Last Mimzy
English		2007	The Last Mistress (Une vieille maîtresse)
English		1992	The Last of the Mohicans
English		2003	The Last Samurai
English		2010	The Last Song
Hindi		2002	The Legend of Bhagat Singh
English		2005	The Legend of Zorro
English		1994	The Lion King
English		2004	The Lion King 1½
English		1994	The Lion King Collection
English		1998	The Lion King II: Simba's Pride
English		2003	The Lord of the Rings Collection
English		2001	The Lord of the Rings: The Fellowship of the Ring
English		2003	The Lord of the Rings: The Return of the King
English		2002	The Lord of the Rings: The Two Towers
English		2010	The Losers
English		2008	The Love Guru
English		1962	The Manchurian Candidate
English		2006	The Marine
English		2009	The Marine 2
English		1998	The Mask of Zorro
English		NA	The Masquerader
English		1999	The Matrix
English		1999	The Matrix Collection HD
English		2003	The Matrix Reloaded
English		2003	The Matrix Revolutions
English		2011	The Mechanic
English		2004	The Merchant of Venice
English		1992	The Mighty Ducks
English		1994	The Mighty Ducks 2 (D2)
English		2004	The Motorcycle Diaries (Diarios de motocicleta)
English		1999	The Mummy
English		2001	The Mummy Returns
English		2008	The Mummy: Tomb of the Dragon Emperor
English		2005	The MYTH (San wa)
English		1991	The Naked Gun 2½: The Smell of Fear
English		1994	The Naked Gun 33 1/3: The Final Insult
English		1988	The NAKED GUN Collection
English		1988	The Naked Gun: From the Files of Police Squad!
English		2002	The New Guy
English		2004	The Notebook
English		2007	The Number 23
English		2006	The Omen
English		2008	The Other End of the Line
English		2005	The Pacifier
English		1997	The Peacemaker
English		2000	The Perfect Storm
English		2002	The Pianist
English		2006	The Pink Panther
English		2009	The Pink Panther 2
English		2006	The Pink Panther Collection
English		2004	The Polar Express
English		2009	The Princess and the Frog
English		1987	The Princess Bride
English		2001	The Princess Diaries
English		2004	The Princess Diaries 2: Royal Engagement
English		2004	The Punisher
English		NA	The Punisher Collection
English		2008	The Punisher: War Zone
English		2006	The Pursuit of Happyness
English		2008	The Reader
English		2007	The Reaping
English		2009	The Rebound
English		2003	The Recruit
Foreign Language	1956	The Red Balloon (Le ballon rouge)
English		2011	The Resident
English		2002	The Ring
English		2005	The Ring Two
English		2009	The Road
English		2000	The Road to El Dorado
English		1996	The Rock
English		NA	The Rounders
English		2003	The Rundown
English		2003	The School of Rock
English		2006	The Secret
English		1987	The Secret of My Succe$s
English		2007	The Seeker: The Dark Is Rising
English		2006	The Sentinel
English		1994	The Shawshank Redemption
English		1991	The Silence of the Lambs
English		1999	The Sixth Sense
English		2005	The Skeleton Key
English		2010	The Social Network
English		2008	The Spiderwick Chronicles
English		2010	The Spy Next Door
English		1973	The Sting
English		2009	The Strength of Water
English		2002	The Sum of All Fears
English		2002	The Sweetest Thing
English		1999	The Talented Mr. Ripley
English		2004	The Terminal
English		1984	The Terminator
English		1998	The Thin Red Line
English		2002	The Time Machine
English		2002	The Transporter
English		1998	The Truman Show
English		2009	The Ugly Truth
English		2006	The Ultimate Gift
English		2009	The Unborn
English		2009	The Uninvited
English		1995	The Usual Suspects
English		2007	The Water Horse
English		2006	The Wild
English		1998	The X Files
English		1991	Thelma & Louise
English		2007	There Will Be Blood
English		2001	Thir13en Ghosts
English		2011	Thor
Foreign Language	2008	Three Kingdoms Resurrection Of The Dragon (Saam gwok dzi gin lung se gap)
English		1999	Three Kings
Hindi		NA	Thriller The Movie Hyderabadi
English		2003	Timeline
Marathi		NA	Tingya
English		2009	Tinker Bell and the Lost Treasure
English		1997	Titanic
English		1962	To Kill a Mockingbird
English		1982	Tootsie
English		1986	Top Gun
English		1991	Toy Soldiers
English		1995	Toy Story
English		1999	Toy Story 2
English		2010	Toy Story 3
English		1995	Toy Story Collection
English		2000	Traffic
English		2007	Transformers
English		2009	Transformers 2 Revenge of the Fallen
English		2011	Transformers 3 Dark Of The Moon
English		2007	Transformers Collection
English		2005	Transporter 2
English		2008	Transporter 3
English		2008	Transsiberian
English		2002	Treasure Planet
Foreign Language	1935	Triumph of the Wil (Triumph des Willens)
English		2010	TRON: Legacy
English		2008	Tropic Thunder
English		2004	Troy
English		2010	True Grit
Marathi		NA	Tula Shikvin Changalach Dhada
Marathi		NA	Tumach Amach Jamal
English		1989	Turner & Hooch
English		1995	Twelve Monkeys
English		2008	Twilight
English		2008	Twilight Collection
English		2010	Twilight: Eclipse
English		2009	Twilight: New Moon
Hindi		2008	U Me Aur Hum
English		2000	U-571
English		2000	Unbreakable
English		2007	Underdog
English		2006	Underworld: Evolution
English		2009	Underworld: Rise of the Lycans
English		2006	Undisputed II: Last Man Standing
English		2010	Undisputed III: Redemption
English		1992	Universal Soldier
English		2010	Unstoppable
English		2010	Unthinkable
English		2008	Untraceable
English		2009	Up
English		2009	Up in the Air
English		2006	V for Vendetta
Hindi		1999	Vaastav: The Reality
English		2008	Valkyrie
Marathi		2008	Valu
English		2010	Vampires Suck
English		2004	Van Helsing
English		2002	Van Wilder
English		2006	Van Wilder 2: The Rise of Taj
English		2009	Van Wilder: Freshman Year
English		2008	Vantage Point
Marathi		NA	Varhad Nighalay Londonla
English		1999	Varsity Blues
Hindi		2010	Veer
Hindi		2004	Veer-Zaara
English		1958	Vertigo
English		1998	Very Bad Things
English		2008	Vicky Cristina Barcelona
Tamil		2010	Vinnaithaandi Varuvaayaa
English		2010	Wall Street: Money Never Sleeps
English		2008	WALL·E
English		2008	Wanted
English		2007	War
English		NA	War Horse
English		2005	War of the Worlds
English		2008	WarGames: The Dead Code
Foreign Language	2003	Warriors of Heaven and Earth (Tian di ying xiong)
English		2009	Watchmen
Foreign Language	2007	Water Lilies (Naissance des pieuvres)
English		2004	We Don't Live Here Anymore
English		2002	We Were Soldiers
English		2005	Wedding Crashers
Hindi		2007	Welcome
English		1961	West Side Story
English		2002	Whale Rider 2002
English		1991	What About Bob?
English		2008	What Happens in Vegas
English		2000	What Women Want
English		2006	When a Stranger Calls
English		2009	Whip It
English		2004	White Chicks
English		2007	White Noise 2: The Light
English		2010	Why Did I Get Married Too?
English		1998	Wild Things
English		1998	Wild Things Collection
English		2005	Wild Things: Diamonds in the Rough
English		1957	Witness for the Prosecution
English		2010	Wrong Side of Town
English		2003	Wrong Turn
English		2007	Wrong Turn 2: Dead End
English		2000	X-Men
English		NA	X-Men Collection
English		2009	X-Men Origins: Wolverine
English		2003	X-Men: 2 (X2)
English		2011	X-Men: First Class
English		2006	X-Men: The Last Stand
Hindi		2011	Yeh Saali Zindagi
English		2008	You Don't Mess with the Zohan
English		2004	You Got Served
English		2007	Young People Fucking
English		2007	Youth Without Youth
English		1998	You've Got Mail
Hindi		2008	Yuvvraaj
Hindi		1973	Zanjeer
Marathi		NA	Zenda
Hindi		2011	Zindagi Na Milegi Dobara
English		2007	Zodiac
English		2005	Zorro Collection
